person_id,video_id
65530,687
65530,690
65530,529
65530,842
65530,884
65530,961
65530,963
65530,883
65530,1555
65530,1835
65530,1929
65530,1024
65530,2013
65530,2277
65530,1274
65530,2237
65530,1835
65530,881
65530,1929
65530,2161
65530,2821
65530,2969
65530,2972
65530,3022
65530,3022
65530,3049
65530,3069
65530,3081
65530,3275
65530,3022
65530,3049
65530,3068
65530,3081
65530,4084
67200,529
67200,700
67200,529
67200,736
67200,842
67200,883
67200,961
67200,1024
67200,1027
67200,1130
67200,1641
67200,1835
67200,2003
67200,2061
67200,2238
67200,1611
67200,1610
67200,1878
67200,1835
67200,2237
67200,2645
67200,1023
67200,2237
67200,2721
67200,2969
67200,2972
67200,3022
67200,3049
67200,3068
67200,3069
67200,3081
67200,3275
67200,3068
67200,4084
72488,881
72488,884
72488,1025
72488,1016
72488,1274
72488,1556
72488,1526
72488,1610
72488,1555
72488,1779
72488,881
72488,2013
72488,2034
72488,961
72488,1610
72488,2339
72488,1649
72488,2424
72488,1879
72488,1025
72488,2161
72488,2548
72488,1835
72488,2860
72488,2873
72488,2802
72488,1779
72488,2090
72488,2231
72488,2969
72488,2972
72488,3022
72488,3049
72488,3068
72488,3069
72488,3081
72488,3275
72488,4084
72495,881
72495,884
72495,1025
72495,1016
72495,1274
72495,1556
72495,1610
72495,1555
72495,2013
72495,2034
72495,961
72495,2339
72495,2424
72495,1879
72495,1025
72495,2548
72495,1835
72495,2860
72495,2873
72495,2802
72495,1779
72495,2090
72495,2231
72495,2972
72495,3022
72495,3068
72495,3081
72495,3275
72495,4084
72560,881
72560,884
72560,1025
72560,1016
72560,1274
72560,1526
72560,1779
72560,2013
72560,2034
72560,961
72560,1610
72560,2339
72560,1649
72560,2424
72560,1879
72560,1025
72560,2650
72560,2161
72560,2548
72560,1835
72560,2860
72560,2721
72560,2802
72560,1025
72560,2090
72560,2231
72560,2231
72560,2969
72560,2972
72560,3022
72560,3049
72560,3068
72560,3069
72560,3081
72560,3275
72560,3136
72560,4084
75619,1023
75619,881
75619,1025
75619,1641
75619,2003
75619,2252
75619,1274
75619,1027
75619,1095
75619,2363
75619,2423
75619,1024
75619,1027
75619,2252
75619,2237
75619,2969
75619,2972
75619,3022
75619,3049
75619,3068
75619,3069
75619,3081
75619,3069
75619,4084
86662,1129
86662,1556
86662,1611
86662,1835
86662,1610
86662,1023
86662,1729
86662,1130
86662,1027
86662,843
86662,2090
86662,1095
86662,2276
86662,2276
86662,2424
86662,1835
86662,2090
86662,961
86662,2013
86662,1027
86662,1095
86662,2969
86662,2972
86662,3022
86662,3049
86662,3069
86662,3068
86662,3081
86662,1094
86662,2276
86662,883
86662,2972
86662,3275
86662,1835
86662,842
86662,2746
86662,1024
86662,961
86662,3049
86662,3069
86662,2423
86662,4084
86662,2972
86662,3133
86698,1555
86698,1274
86698,1704
86698,1835
86698,1835
86698,1025
86698,1023
86698,1705
86698,1130
86698,1130
86698,1095
86698,2091
86698,2424
86698,1835
86698,961
86698,2013
86698,1027
86698,2060
86698,1027
86698,2821
86698,2969
86698,2969
86698,1835
86698,842
86698,2746
86698,961
86698,1024
86698,3049
86698,3069
86698,3081
86698,2423
86698,2424
86698,4084
86698,3133
98333,1641
98333,1024
98333,1130
98333,2363
98333,1274
98333,1095
98333,2060
98333,2969
98333,2972
98333,3022
98333,3049
98333,3069
98333,3081
98333,3049
98333,3069
98333,3081
98333,4084
